KEY_CODE,T000386001,T000386002,T000386003,T000386004
,êlå˚ëçêî,íj,èó,ê¢ë—ëçêî
404241752,9,6,3,5
404241753,5,4,1,2
404241852,81,42,39,56
404241854,43,19,24,26
404241862,1,1,0,1
404241961,10,5,5,9
404251061,5,1,4,2
404251142,184,135,49,92
404251144,119,72,47,83
404251152,1,0,1,1
404251153,260,128,132,148
404251154,249,161,88,162
404251242,22,11,11,10
404251251,815,457,358,377
404251252,194,98,96,122
404251261,17,10,7,2
