KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000847001,T000847002,T000847003,T000847004,T000847005,T000847006,T000847007,T000847008,T000847009,T000847010,T000847011,T000847012,T000847013,T000847014,T000847015,T000847016,T000847017,T000847018,T000847019,T000847020,T000847021,T000847022,T000847023,T000847024,T000847025,T000847026,T000847027,T000847028,T000847029,T000847030,T000847031,T000847032,T000847033,T000847034,T000847035,T000847036,T000847037,T000847038,T000847039,T000847040,T000847041
,,,,　人口総数,　人口総数　男,　人口総数　女,　０～１４歳人口総数,　０～１４歳人口　男,　０～１４歳人口　女,　１５歳以上人口総数,　１５歳以上人口　男,　１５歳以上人口　女,　１５～６４歳人口総数,　１５～６４歳人口　男,　１５～６４歳人口　女,　２０歳以上人口総数,　２０歳以上人口　男,　２０歳以上人口　女,　６５歳以上人口総数,　６５歳以上人口　男,　６５歳以上人口　女,　７５歳以上人口総数,　７５歳以上人口　男,　７５歳以上人口　女,　外国人人口総数,　外国人人口　男,　外国人人口　女,　世帯総数,　一般世帯数,　１人世帯の一般世帯数,　２人世帯の一般世帯数,　３人世帯の一般世帯数,　４人世帯の一般世帯数,　５人世帯の一般世帯数,　６人世帯の一般世帯数,　７人以上世帯の一般世帯数,　親族のみの一般世帯数,　核家族の一般世帯数,　核家族以外の一般世帯数,　６歳未満世帯員のいる一般世帯数,　６５歳以上世帯員のいる一般世帯数,　世帯主の年齢が２０～２９歳の１人世帯の一般世帯数,　高齢単身の一般世帯数,　高齢夫婦のみの一般世帯数
493946734,0,,,48,23,25,4,1,3,44,22,22,21,11,10,42,21,21,23,11,12,8,4,4,0,0,0,22,22,5,10,5,2,0,0,0,17,15,2,2,14,0,3,6
493946742,0,,,31,16,15,2,2,0,29,14,15,14,7,7,29,14,15,15,7,8,10,4,6,0,0,0,15,15,3,9,2,1,0,0,0,12,12,0,1,10,0,2,5
493946743,0,,,13,6,7,3,2,1,10,4,6,7,3,4,10,4,6,3,1,2,2,1,1,0,0,0,6,6,2,2,1,1,0,0,0,4,4,0,1,2,1,0,1
493946744,0,,,178,82,96,18,11,7,160,71,89,83,41,42,154,67,87,77,30,47,44,15,29,2,0,2,79,79,20,38,9,6,5,1,0,58,51,7,2,52,0,16,20
493946751,0,,,37,18,19,6,2,4,31,16,15,22,12,10,31,16,15,9,4,5,3,1,2,0,0,0,18,18,6,8,2,1,1,0,0,12,12,0,2,6,0,2,3
493946753,0,,,114,60,54,14,8,6,100,52,48,52,25,27,94,49,45,48,27,21,19,9,10,2,0,2,61,61,28,20,8,4,0,1,0,33,31,2,5,35,0,16,11
493946824,2,493946833,,5,3,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
493946831,2,493946833,,3,3,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
493946832,0,,,200,100,100,25,12,13,175,88,87,122,65,57,168,83,85,53,23,30,32,11,21,0,0,0,106,106,50,33,14,5,2,2,0,56,54,2,9,40,6,18,10
493946833,1,,493946824;493946831,75,39,36,2,1,1,81,44,37,50,32,18,78,43,35,31,12,19,13,4,9,1,0,1,41,41,23,12,9,1,1,0,0,22,17,5,1,22,4,8,2
493946834,0,,,126,62,64,9,7,2,117,55,62,48,28,20,116,55,61,69,27,42,50,18,32,1,0,1,70,70,31,28,6,4,1,0,0,38,33,5,1,52,2,22,13
493946841,0,,,32,13,19,2,1,1,30,12,18,16,5,11,29,12,17,14,7,7,6,1,5,0,0,0,15,15,4,6,4,1,0,0,0,11,8,3,1,10,0,4,3
493946842,0,,,156,78,78,17,8,9,139,70,69,60,33,27,134,67,67,79,37,42,36,18,18,0,0,0,77,77,26,35,10,2,2,2,0,51,45,6,2,52,0,17,19
493946843,0,,,21,10,11,5,2,3,16,8,8,9,3,6,16,8,8,7,5,2,3,2,1,0,0,0,9,9,3,3,1,1,1,0,0,5,4,1,2,5,0,2,2
493946851,0,,,109,56,53,17,10,7,92,46,46,46,26,20,90,46,44,46,20,26,23,8,15,1,0,1,51,51,17,19,8,5,2,0,0,34,31,3,6,33,2,11,13
493946852,0,,,10,4,6,0,0,0,9,4,5,4,3,1,9,4,5,5,1,4,2,0,2,0,0,0,4,4,1,1,1,1,0,0,0,3,2,1,0,3,0,0,1
493946853,0,,,22,11,11,0,0,0,22,11,11,13,8,5,22,11,11,9,3,6,4,1,3,0,0,0,14,14,9,3,1,1,0,0,0,4,3,1,0,8,0,6,1
493946922,2,493946931,,5,2,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
493946931,1,,493946922,10,7,3,1,1,0,14,8,6,7,5,2,13,7,6,7,3,4,7,3,4,0,0,0,4,4,1,2,2,1,0,0,0,5,4,1,0,4,0,0,2
493946971,1,,493946972,47,27,20,3,1,2,51,29,22,26,14,12,50,29,21,25,15,10,14,7,7,0,0,0,28,28,19,10,2,1,1,0,0,14,14,0,0,21,0,13,3
493946972,2,493946971,,7,3,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
493946974,0,,,46,20,26,3,2,1,43,18,25,17,11,6,43,18,25,26,7,19,17,4,13,0,0,0,25,25,12,9,2,1,0,1,0,13,10,3,0,22,0,10,3
493946981,0,,,17,7,10,0,0,0,16,6,10,5,2,3,16,6,10,11,4,7,2,0,2,0,0,0,14,13,11,1,1,0,0,0,0,2,2,0,0,10,0,9,0
493946983,0,,,34,18,16,9,5,4,25,13,12,18,10,8,24,12,12,7,3,4,6,2,4,1,0,1,18,18,9,5,2,1,1,0,0,9,9,0,1,5,0,2,2
493955494,2,493955594,,5,3,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
493955592,2,493955594,,5,2,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
493955593,2,493955594,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
493955594,1,,493955494;493955592;493955593;493955691;493955693;493955791;493955794;493955892;493955894,4,3,1,4,3,1,39,20,19,18,8,10,38,20,18,21,12,9,8,5,3,2,0,2,3,3,12,8,2,1,1,0,0,12,10,2,0,14,0,5,5
493955691,2,493955594,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
493955693,2,493955594,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
493955791,2,493955594,,8,3,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
493955794,2,493955594,,2,2,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
493955892,2,493955594,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
493955894,2,493955594,,7,3,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
493956022,2,493956031,,6,2,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
493956031,1,,493956022,4,2,2,0,0,0,10,4,6,6,3,3,10,4,6,4,1,3,2,0,2,0,0,0,2,2,1,3,1,0,0,0,0,4,4,0,0,3,0,1,1
493956072,1,,493956074,31,14,17,0,0,0,33,16,17,22,13,9,32,16,16,11,3,8,7,2,5,0,0,0,15,15,5,9,2,1,0,0,0,11,10,1,0,10,0,3,0
