KEY_CODE,MESH1_ID,MESH2_ID,MESH3_ID,MESH4_ID,OBJ_ID
"493946001","4939","46","00","1","1"
"493946002","4939","46","00","2","2"
"493946003","4939","46","00","3","3"
"493946004","4939","46","00","4","4"
"493946011","4939","46","01","1","5"
"493946012","4939","46","01","2","6"
"493946013","4939","46","01","3","7"
"493946014","4939","46","01","4","8"
"493946021","4939","46","02","1","9"
"493946022","4939","46","02","2","10"
"493946023","4939","46","02","3","11"
"493946024","4939","46","02","4","12"
"493946031","4939","46","03","1","13"
"493946032","4939","46","03","2","14"
"493946033","4939","46","03","3","15"
"493946034","4939","46","03","4","16"
"493946041","4939","46","04","1","17"
"493946042","4939","46","04","2","18"
"493946043","4939","46","04","3","19"
"493946044","4939","46","04","4","20"
"493946051","4939","46","05","1","21"
"493946052","4939","46","05","2","22"
"493946053","4939","46","05","3","23"
"493946054","4939","46","05","4","24"
"493946061","4939","46","06","1","25"
"493946062","4939","46","06","2","26"
"493946063","4939","46","06","3","27"
"493946064","4939","46","06","4","28"
"493946071","4939","46","07","1","29"
"493946072","4939","46","07","2","30"
"493946073","4939","46","07","3","31"
"493946074","4939","46","07","4","32"
"493946081","4939","46","08","1","33"
"493946082","4939","46","08","2","34"
"493946083","4939","46","08","3","35"
"493946084","4939","46","08","4","36"
"493946091","4939","46","09","1","37"
"493946092","4939","46","09","2","38"
"493946093","4939","46","09","3","39"
"493946094","4939","46","09","4","40"
"493946101","4939","46","10","1","41"
"493946102","4939","46","10","2","42"
"493946103","4939","46","10","3","43"
"493946104","4939","46","10","4","44"
"493946111","4939","46","11","1","45"
"493946112","4939","46","11","2","46"
"493946113","4939","46","11","3","47"
"493946114","4939","46","11","4","48"
"493946121","4939","46","12","1","49"
"493946122","4939","46","12","2","50"
"493946123","4939","46","12","3","51"
"493946124","4939","46","12","4","52"
"493946131","4939","46","13","1","53"
"493946132","4939","46","13","2","54"
"493946133","4939","46","13","3","55"
"493946134","4939","46","13","4","56"
"493946141","4939","46","14","1","57"
"493946142","4939","46","14","2","58"
"493946143","4939","46","14","3","59"
"493946144","4939","46","14","4","60"
"493946151","4939","46","15","1","61"
"493946152","4939","46","15","2","62"
"493946153","4939","46","15","3","63"
"493946154","4939","46","15","4","64"
"493946161","4939","46","16","1","65"
"493946162","4939","46","16","2","66"
"493946163","4939","46","16","3","67"
"493946164","4939","46","16","4","68"
"493946171","4939","46","17","1","69"
"493946172","4939","46","17","2","70"
"493946173","4939","46","17","3","71"
"493946174","4939","46","17","4","72"
"493946181","4939","46","18","1","73"
"493946182","4939","46","18","2","74"
"493946183","4939","46","18","3","75"
"493946184","4939","46","18","4","76"
"493946191","4939","46","19","1","77"
"493946192","4939","46","19","2","78"
"493946193","4939","46","19","3","79"
"493946194","4939","46","19","4","80"
"493946201","4939","46","20","1","81"
"493946202","4939","46","20","2","82"
"493946203","4939","46","20","3","83"
"493946204","4939","46","20","4","84"
"493946211","4939","46","21","1","85"
"493946212","4939","46","21","2","86"
"493946213","4939","46","21","3","87"
"493946214","4939","46","21","4","88"
"493946221","4939","46","22","1","89"
"493946222","4939","46","22","2","90"
"493946223","4939","46","22","3","91"
"493946224","4939","46","22","4","92"
"493946231","4939","46","23","1","93"
"493946232","4939","46","23","2","94"
"493946233","4939","46","23","3","95"
"493946234","4939","46","23","4","96"
"493946241","4939","46","24","1","97"
"493946242","4939","46","24","2","98"
"493946243","4939","46","24","3","99"
"493946244","4939","46","24","4","100"
"493946251","4939","46","25","1","101"
"493946252","4939","46","25","2","102"
"493946253","4939","46","25","3","103"
"493946254","4939","46","25","4","104"
"493946261","4939","46","26","1","105"
"493946262","4939","46","26","2","106"
"493946263","4939","46","26","3","107"
"493946264","4939","46","26","4","108"
"493946271","4939","46","27","1","109"
"493946272","4939","46","27","2","110"
"493946273","4939","46","27","3","111"
"493946274","4939","46","27","4","112"
"493946281","4939","46","28","1","113"
"493946282","4939","46","28","2","114"
"493946283","4939","46","28","3","115"
"493946284","4939","46","28","4","116"
"493946291","4939","46","29","1","117"
"493946292","4939","46","29","2","118"
"493946293","4939","46","29","3","119"
"493946294","4939","46","29","4","120"
"493946301","4939","46","30","1","121"
"493946302","4939","46","30","2","122"
"493946303","4939","46","30","3","123"
"493946304","4939","46","30","4","124"
"493946311","4939","46","31","1","125"
"493946312","4939","46","31","2","126"
"493946313","4939","46","31","3","127"
"493946314","4939","46","31","4","128"
"493946321","4939","46","32","1","129"
"493946322","4939","46","32","2","130"
"493946323","4939","46","32","3","131"
"493946324","4939","46","32","4","132"
"493946331","4939","46","33","1","133"
"493946332","4939","46","33","2","134"
"493946333","4939","46","33","3","135"
"493946334","4939","46","33","4","136"
"493946341","4939","46","34","1","137"
"493946342","4939","46","34","2","138"
"493946343","4939","46","34","3","139"
"493946344","4939","46","34","4","140"
"493946351","4939","46","35","1","141"
"493946352","4939","46","35","2","142"
"493946353","4939","46","35","3","143"
"493946354","4939","46","35","4","144"
"493946361","4939","46","36","1","145"
"493946362","4939","46","36","2","146"
"493946363","4939","46","36","3","147"
"493946364","4939","46","36","4","148"
"493946371","4939","46","37","1","149"
"493946372","4939","46","37","2","150"
"493946373","4939","46","37","3","151"
"493946374","4939","46","37","4","152"
"493946381","4939","46","38","1","153"
"493946382","4939","46","38","2","154"
"493946383","4939","46","38","3","155"
"493946384","4939","46","38","4","156"
"493946391","4939","46","39","1","157"
"493946392","4939","46","39","2","158"
"493946393","4939","46","39","3","159"
"493946394","4939","46","39","4","160"
"493946401","4939","46","40","1","161"
"493946402","4939","46","40","2","162"
"493946403","4939","46","40","3","163"
"493946404","4939","46","40","4","164"
"493946411","4939","46","41","1","165"
"493946412","4939","46","41","2","166"
"493946413","4939","46","41","3","167"
"493946414","4939","46","41","4","168"
"493946421","4939","46","42","1","169"
"493946422","4939","46","42","2","170"
"493946423","4939","46","42","3","171"
"493946424","4939","46","42","4","172"
"493946431","4939","46","43","1","173"
"493946432","4939","46","43","2","174"
"493946433","4939","46","43","3","175"
"493946434","4939","46","43","4","176"
"493946441","4939","46","44","1","177"
"493946442","4939","46","44","2","178"
"493946443","4939","46","44","3","179"
"493946444","4939","46","44","4","180"
"493946451","4939","46","45","1","181"
"493946452","4939","46","45","2","182"
"493946453","4939","46","45","3","183"
"493946454","4939","46","45","4","184"
"493946461","4939","46","46","1","185"
"493946462","4939","46","46","2","186"
"493946463","4939","46","46","3","187"
"493946464","4939","46","46","4","188"
"493946471","4939","46","47","1","189"
"493946472","4939","46","47","2","190"
"493946473","4939","46","47","3","191"
"493946474","4939","46","47","4","192"
"493946481","4939","46","48","1","193"
"493946482","4939","46","48","2","194"
"493946483","4939","46","48","3","195"
"493946484","4939","46","48","4","196"
"493946491","4939","46","49","1","197"
"493946492","4939","46","49","2","198"
"493946493","4939","46","49","3","199"
"493946494","4939","46","49","4","200"
"493946501","4939","46","50","1","201"
"493946502","4939","46","50","2","202"
"493946503","4939","46","50","3","203"
"493946504","4939","46","50","4","204"
"493946511","4939","46","51","1","205"
"493946512","4939","46","51","2","206"
"493946513","4939","46","51","3","207"
"493946514","4939","46","51","4","208"
"493946521","4939","46","52","1","209"
"493946522","4939","46","52","2","210"
"493946523","4939","46","52","3","211"
"493946524","4939","46","52","4","212"
"493946531","4939","46","53","1","213"
"493946532","4939","46","53","2","214"
"493946533","4939","46","53","3","215"
"493946534","4939","46","53","4","216"
"493946541","4939","46","54","1","217"
"493946542","4939","46","54","2","218"
"493946543","4939","46","54","3","219"
"493946544","4939","46","54","4","220"
"493946551","4939","46","55","1","221"
"493946552","4939","46","55","2","222"
"493946553","4939","46","55","3","223"
"493946554","4939","46","55","4","224"
"493946561","4939","46","56","1","225"
"493946562","4939","46","56","2","226"
"493946563","4939","46","56","3","227"
"493946564","4939","46","56","4","228"
"493946571","4939","46","57","1","229"
"493946572","4939","46","57","2","230"
"493946573","4939","46","57","3","231"
"493946574","4939","46","57","4","232"
"493946581","4939","46","58","1","233"
"493946582","4939","46","58","2","234"
"493946583","4939","46","58","3","235"
"493946584","4939","46","58","4","236"
"493946591","4939","46","59","1","237"
"493946592","4939","46","59","2","238"
"493946593","4939","46","59","3","239"
"493946594","4939","46","59","4","240"
"493946601","4939","46","60","1","241"
"493946602","4939","46","60","2","242"
"493946603","4939","46","60","3","243"
"493946604","4939","46","60","4","244"
