KEY_CODE,T000386001,T000386002,T000386003,T000386004
,êlå˚ëçêî,íj,èó,ê¢ë—ëçêî
513921304,10,6,4,4
513921311,4,3,1,1
513921312,1,0,1,1
513921402,441,232,209,189
513921404,796,402,394,269
513921411,177,87,90,60
513921412,10,4,6,3
513921413,173,88,85,59
513921502,93,46,47,30
513921511,382,200,182,140
513921512,2,1,1,1
513921513,10,5,5,3
513921602,45,14,31,7
513931873,135,65,70,55
513931874,94,46,48,46
513931971,209,104,105,100
513931972,143,69,74,68
513941392,30,4,26,1
513942302,6,4,2,3
513942401,39,20,19,19
513942402,110,58,52,56
513942403,569,284,285,219
513942404,416,206,210,161
513942501,459,218,241,158
513942502,302,142,160,101
513942503,137,57,80,46
513942504,43,18,25,15
513942611,41,23,18,18
513942923,41,19,22,17
513952021,50,23,27,17
513952022,114,57,57,35
513952024,209,101,108,71
513962321,124,67,57,71
513962323,178,98,80,98
