KEY_CODE,MESH1_ID,MESH2_ID,MESH3_ID,MESH4_ID,OBJ_ID
"503932001","5039","32","00","1","1"
"503932002","5039","32","00","2","2"
"503932003","5039","32","00","3","3"
"503932004","5039","32","00","4","4"
"503932011","5039","32","01","1","5"
"503932012","5039","32","01","2","6"
"503932013","5039","32","01","3","7"
"503932014","5039","32","01","4","8"
"503932021","5039","32","02","1","9"
"503932022","5039","32","02","2","10"
"503932023","5039","32","02","3","11"
"503932024","5039","32","02","4","12"
"503932031","5039","32","03","1","13"
"503932032","5039","32","03","2","14"
"503932033","5039","32","03","3","15"
"503932034","5039","32","03","4","16"
"503932041","5039","32","04","1","17"
"503932042","5039","32","04","2","18"
"503932043","5039","32","04","3","19"
"503932044","5039","32","04","4","20"
"503932051","5039","32","05","1","21"
"503932052","5039","32","05","2","22"
"503932053","5039","32","05","3","23"
"503932054","5039","32","05","4","24"
"503932061","5039","32","06","1","25"
"503932062","5039","32","06","2","26"
"503932063","5039","32","06","3","27"
"503932064","5039","32","06","4","28"
"503932071","5039","32","07","1","29"
"503932072","5039","32","07","2","30"
"503932073","5039","32","07","3","31"
"503932074","5039","32","07","4","32"
"503932081","5039","32","08","1","33"
"503932082","5039","32","08","2","34"
"503932083","5039","32","08","3","35"
"503932084","5039","32","08","4","36"
"503932091","5039","32","09","1","37"
"503932092","5039","32","09","2","38"
"503932093","5039","32","09","3","39"
"503932094","5039","32","09","4","40"
"503932101","5039","32","10","1","41"
"503932102","5039","32","10","2","42"
"503932103","5039","32","10","3","43"
"503932104","5039","32","10","4","44"
"503932111","5039","32","11","1","45"
"503932112","5039","32","11","2","46"
"503932113","5039","32","11","3","47"
"503932114","5039","32","11","4","48"
"503932121","5039","32","12","1","49"
"503932122","5039","32","12","2","50"
"503932123","5039","32","12","3","51"
"503932124","5039","32","12","4","52"
"503932131","5039","32","13","1","53"
"503932132","5039","32","13","2","54"
"503932133","5039","32","13","3","55"
"503932134","5039","32","13","4","56"
"503932141","5039","32","14","1","57"
"503932142","5039","32","14","2","58"
"503932143","5039","32","14","3","59"
"503932144","5039","32","14","4","60"
"503932151","5039","32","15","1","61"
"503932152","5039","32","15","2","62"
"503932153","5039","32","15","3","63"
"503932154","5039","32","15","4","64"
"503932161","5039","32","16","1","65"
"503932162","5039","32","16","2","66"
"503932163","5039","32","16","3","67"
"503932164","5039","32","16","4","68"
"503932171","5039","32","17","1","69"
"503932172","5039","32","17","2","70"
"503932173","5039","32","17","3","71"
"503932174","5039","32","17","4","72"
"503932181","5039","32","18","1","73"
"503932182","5039","32","18","2","74"
