KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000847001,T000847002,T000847003,T000847004,T000847005,T000847006,T000847007,T000847008,T000847009,T000847010,T000847011,T000847012,T000847013,T000847014,T000847015,T000847016,T000847017,T000847018,T000847019,T000847020,T000847021,T000847022,T000847023,T000847024,T000847025,T000847026,T000847027,T000847028,T000847029,T000847030,T000847031,T000847032,T000847033,T000847034,T000847035,T000847036,T000847037,T000847038,T000847039,T000847040,T000847041
,,,,　人口総数,　人口総数　男,　人口総数　女,　０～１４歳人口総数,　０～１４歳人口　男,　０～１４歳人口　女,　１５歳以上人口総数,　１５歳以上人口　男,　１５歳以上人口　女,　１５～６４歳人口総数,　１５～６４歳人口　男,　１５～６４歳人口　女,　２０歳以上人口総数,　２０歳以上人口　男,　２０歳以上人口　女,　６５歳以上人口総数,　６５歳以上人口　男,　６５歳以上人口　女,　７５歳以上人口総数,　７５歳以上人口　男,　７５歳以上人口　女,　外国人人口総数,　外国人人口　男,　外国人人口　女,　世帯総数,　一般世帯数,　１人世帯の一般世帯数,　２人世帯の一般世帯数,　３人世帯の一般世帯数,　４人世帯の一般世帯数,　５人世帯の一般世帯数,　６人世帯の一般世帯数,　７人以上世帯の一般世帯数,　親族のみの一般世帯数,　核家族の一般世帯数,　核家族以外の一般世帯数,　６歳未満世帯員のいる一般世帯数,　６５歳以上世帯員のいる一般世帯数,　世帯主の年齢が２０～２９歳の１人世帯の一般世帯数,　高齢単身の一般世帯数,　高齢夫婦のみの一般世帯数
404241752,0,,,16,8,8,6,3,3,10,5,5,7,3,4,10,5,5,3,2,1,3,2,1,0,0,0,7,7,4,1,0,1,0,1,0,2,2,0,2,3,0,3,0
404241763,2,404241861,,3,3,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
404241854,1,,404241964,59,35,24,6,3,3,56,32,24,38,22,16,56,32,24,18,10,8,5,0,5,0,0,0,34,34,20,12,1,2,0,0,1,15,14,1,1,13,4,5,3
404241861,1,,404241763;404241862;404241864,100,56,44,22,12,10,93,55,38,86,49,37,91,54,37,7,6,1,4,3,1,0,0,0,56,56,39,12,9,5,1,0,0,24,24,0,9,7,6,6,0
404241862,2,404241861,,4,3,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
404241864,2,404241861,,8,5,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
404241964,2,404241854,,3,0,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
404251151,0,,,292,174,118,31,17,14,261,157,104,224,135,89,261,157,104,37,22,15,8,5,3,1,0,1,173,171,121,28,10,7,1,3,1,47,42,5,16,27,40,11,7
404251152,0,,,64,25,39,3,1,2,61,24,37,44,17,27,58,22,36,17,7,10,7,2,5,3,0,3,40,40,23,12,3,2,0,0,0,16,15,1,1,12,6,2,3
404251153,0,,,14,9,5,0,0,0,14,9,5,14,9,5,14,9,5,0,0,0,0,0,0,0,0,0,12,12,10,2,0,0,0,0,0,2,2,0,0,0,0,0,0
404251154,0,,,362,201,161,59,33,26,303,168,135,244,137,107,289,160,129,59,31,28,29,14,15,4,3,1,188,188,96,46,18,21,6,1,0,92,90,2,21,47,10,27,9
404251163,0,,,502,282,220,88,50,38,414,232,182,354,197,157,398,224,174,60,35,25,26,11,15,3,2,1,282,281,165,62,20,27,6,1,0,110,106,4,33,46,38,19,11
404251252,0,,,662,358,304,154,81,73,508,277,231,432,229,203,484,267,217,76,48,28,24,14,10,5,3,2,315,315,141,79,36,42,15,2,0,174,169,5,41,57,19,20,20
