KEY_CODE,MESH1_ID,MESH2_ID,MESH3_ID,MESH4_ID,OBJ_ID
"513902001","5139","02","00","1","1"
"513902002","5139","02","00","2","2"
"513902003","5139","02","00","3","3"
"513902004","5139","02","00","4","4"
"513902011","5139","02","01","1","5"
"513902012","5139","02","01","2","6"
"513902013","5139","02","01","3","7"
"513902014","5139","02","01","4","8"
"513902021","5139","02","02","1","9"
"513902022","5139","02","02","2","10"
"513902023","5139","02","02","3","11"
"513902024","5139","02","02","4","12"
"513902031","5139","02","03","1","13"
"513902032","5139","02","03","2","14"
"513902033","5139","02","03","3","15"
"513902034","5139","02","03","4","16"
"513902041","5139","02","04","1","17"
"513902042","5139","02","04","2","18"
"513902043","5139","02","04","3","19"
"513902044","5139","02","04","4","20"
"513902051","5139","02","05","1","21"
"513902052","5139","02","05","2","22"
"513902053","5139","02","05","3","23"
"513902054","5139","02","05","4","24"
"513902061","5139","02","06","1","25"
"513902062","5139","02","06","2","26"
"513902063","5139","02","06","3","27"
"513902064","5139","02","06","4","28"
"513902071","5139","02","07","1","29"
"513902072","5139","02","07","2","30"
"513902073","5139","02","07","3","31"
"513902074","5139","02","07","4","32"
"513902081","5139","02","08","1","33"
"513902082","5139","02","08","2","34"
"513902083","5139","02","08","3","35"
"513902084","5139","02","08","4","36"
"513902091","5139","02","09","1","37"
"513902092","5139","02","09","2","38"
"513902093","5139","02","09","3","39"
"513902094","5139","02","09","4","40"
"513902101","5139","02","10","1","41"
"513902102","5139","02","10","2","42"
"513902103","5139","02","10","3","43"
"513902104","5139","02","10","4","44"
"513902111","5139","02","11","1","45"
"513902112","5139","02","11","2","46"
"513902113","5139","02","11","3","47"
"513902114","5139","02","11","4","48"
"513902121","5139","02","12","1","49"
"513902122","5139","02","12","2","50"
"513902123","5139","02","12","3","51"
"513902124","5139","02","12","4","52"
"513902131","5139","02","13","1","53"
"513902132","5139","02","13","2","54"
"513902133","5139","02","13","3","55"
"513902134","5139","02","13","4","56"
"513902141","5139","02","14","1","57"
"513902142","5139","02","14","2","58"
"513902143","5139","02","14","3","59"
"513902144","5139","02","14","4","60"
"513902151","5139","02","15","1","61"
"513902152","5139","02","15","2","62"
"513902153","5139","02","15","3","63"
"513902154","5139","02","15","4","64"
"513902161","5139","02","16","1","65"
"513902162","5139","02","16","2","66"
"513902163","5139","02","16","3","67"
"513902164","5139","02","16","4","68"
"513902171","5139","02","17","1","69"
"513902172","5139","02","17","2","70"
"513902173","5139","02","17","3","71"
"513902174","5139","02","17","4","72"
"513902181","5139","02","18","1","73"
"513902182","5139","02","18","2","74"
"513902183","5139","02","18","3","75"
"513902184","5139","02","18","4","76"
"513902191","5139","02","19","1","77"
"513902192","5139","02","19","2","78"
"513902193","5139","02","19","3","79"
"513902194","5139","02","19","4","80"
"513902201","5139","02","20","1","81"
"513902202","5139","02","20","2","82"
"513902203","5139","02","20","3","83"
"513902204","5139","02","20","4","84"
"513902211","5139","02","21","1","85"
"513902212","5139","02","21","2","86"
"513902213","5139","02","21","3","87"
"513902214","5139","02","21","4","88"
"513902221","5139","02","22","1","89"
"513902222","5139","02","22","2","90"
"513902223","5139","02","22","3","91"
"513902224","5139","02","22","4","92"
"513902231","5139","02","23","1","93"
"513902232","5139","02","23","2","94"
"513902233","5139","02","23","3","95"
"513902234","5139","02","23","4","96"
"513902241","5139","02","24","1","97"
"513902242","5139","02","24","2","98"
"513902243","5139","02","24","3","99"
"513902244","5139","02","24","4","100"
"513902251","5139","02","25","1","101"
"513902252","5139","02","25","2","102"
"513902253","5139","02","25","3","103"
"513902254","5139","02","25","4","104"
"513902261","5139","02","26","1","105"
"513902262","5139","02","26","2","106"
"513902263","5139","02","26","3","107"
"513902264","5139","02","26","4","108"
"513902271","5139","02","27","1","109"
"513902272","5139","02","27","2","110"
"513902273","5139","02","27","3","111"
"513902274","5139","02","27","4","112"
"513902281","5139","02","28","1","113"
"513902282","5139","02","28","2","114"
"513902283","5139","02","28","3","115"
"513902284","5139","02","28","4","116"
"513902291","5139","02","29","1","117"
"513902292","5139","02","29","2","118"
"513902293","5139","02","29","3","119"
"513902294","5139","02","29","4","120"
"513902301","5139","02","30","1","121"
"513902302","5139","02","30","2","122"
"513902303","5139","02","30","3","123"
"513902304","5139","02","30","4","124"
"513902311","5139","02","31","1","125"
"513902312","5139","02","31","2","126"
"513902313","5139","02","31","3","127"
"513902314","5139","02","31","4","128"
"513902321","5139","02","32","1","129"
"513902322","5139","02","32","2","130"
"513902323","5139","02","32","3","131"
"513902324","5139","02","32","4","132"
"513902331","5139","02","33","1","133"
"513902332","5139","02","33","2","134"
"513902333","5139","02","33","3","135"
"513902334","5139","02","33","4","136"
"513902341","5139","02","34","1","137"
"513902342","5139","02","34","2","138"
"513902343","5139","02","34","3","139"
"513902344","5139","02","34","4","140"
"513902351","5139","02","35","1","141"
"513902352","5139","02","35","2","142"
"513902353","5139","02","35","3","143"
"513902354","5139","02","35","4","144"
"513902361","5139","02","36","1","145"
"513902362","5139","02","36","2","146"
"513902363","5139","02","36","3","147"
"513902364","5139","02","36","4","148"
"513902371","5139","02","37","1","149"
"513902372","5139","02","37","2","150"
"513902373","5139","02","37","3","151"
"513902374","5139","02","37","4","152"
"513902381","5139","02","38","1","153"
"513902382","5139","02","38","2","154"
"513902383","5139","02","38","3","155"
"513902384","5139","02","38","4","156"
"513902391","5139","02","39","1","157"
"513902392","5139","02","39","2","158"
"513902393","5139","02","39","3","159"
"513902394","5139","02","39","4","160"
"513902401","5139","02","40","1","161"
"513902402","5139","02","40","2","162"
"513902403","5139","02","40","3","163"
"513902404","5139","02","40","4","164"
"513902411","5139","02","41","1","165"
"513902412","5139","02","41","2","166"
"513902413","5139","02","41","3","167"
"513902414","5139","02","41","4","168"
"513902421","5139","02","42","1","169"
"513902422","5139","02","42","2","170"
"513902423","5139","02","42","3","171"
"513902424","5139","02","42","4","172"
"513902431","5139","02","43","1","173"
"513902432","5139","02","43","2","174"
"513902433","5139","02","43","3","175"
"513902434","5139","02","43","4","176"
"513902441","5139","02","44","1","177"
"513902442","5139","02","44","2","178"
"513902443","5139","02","44","3","179"
"513902444","5139","02","44","4","180"
"513902451","5139","02","45","1","181"
"513902452","5139","02","45","2","182"
"513902453","5139","02","45","3","183"
"513902454","5139","02","45","4","184"
"513902461","5139","02","46","1","185"
"513902462","5139","02","46","2","186"
"513902463","5139","02","46","3","187"
"513902464","5139","02","46","4","188"
"513902471","5139","02","47","1","189"
"513902472","5139","02","47","2","190"
"513902473","5139","02","47","3","191"
"513902474","5139","02","47","4","192"
"513902481","5139","02","48","1","193"
"513902482","5139","02","48","2","194"
"513902483","5139","02","48","3","195"
"513902484","5139","02","48","4","196"
"513902491","5139","02","49","1","197"
"513902492","5139","02","49","2","198"
"513902493","5139","02","49","3","199"
"513902494","5139","02","49","4","200"
"513902501","5139","02","50","1","201"
"513902502","5139","02","50","2","202"
"513902503","5139","02","50","3","203"
"513902504","5139","02","50","4","204"
"513902511","5139","02","51","1","205"
"513902512","5139","02","51","2","206"
"513902513","5139","02","51","3","207"
"513902514","5139","02","51","4","208"
"513902521","5139","02","52","1","209"
"513902522","5139","02","52","2","210"
"513902523","5139","02","52","3","211"
"513902524","5139","02","52","4","212"
"513902531","5139","02","53","1","213"
"513902532","5139","02","53","2","214"
"513902533","5139","02","53","3","215"
"513902534","5139","02","53","4","216"
"513902541","5139","02","54","1","217"
"513902542","5139","02","54","2","218"
"513902543","5139","02","54","3","219"
"513902544","5139","02","54","4","220"
"513902551","5139","02","55","1","221"
"513902552","5139","02","55","2","222"
"513902553","5139","02","55","3","223"
"513902554","5139","02","55","4","224"
"513902561","5139","02","56","1","225"
"513902562","5139","02","56","2","226"
"513902563","5139","02","56","3","227"
"513902564","5139","02","56","4","228"
"513902571","5139","02","57","1","229"
"513902572","5139","02","57","2","230"
"513902573","5139","02","57","3","231"
"513902574","5139","02","57","4","232"
"513902581","5139","02","58","1","233"
"513902582","5139","02","58","2","234"
"513902583","5139","02","58","3","235"
"513902584","5139","02","58","4","236"
"513902591","5139","02","59","1","237"
"513902592","5139","02","59","2","238"
"513902593","5139","02","59","3","239"
"513902594","5139","02","59","4","240"
"513902601","5139","02","60","1","241"
"513902602","5139","02","60","2","242"
"513902603","5139","02","60","3","243"
"513902604","5139","02","60","4","244"
"513902611","5139","02","61","1","245"
"513902612","5139","02","61","2","246"
"513902613","5139","02","61","3","247"
"513902614","5139","02","61","4","248"
"513902621","5139","02","62","1","249"
"513902622","5139","02","62","2","250"
"513902623","5139","02","62","3","251"
"513902624","5139","02","62","4","252"
"513902631","5139","02","63","1","253"
"513902632","5139","02","63","2","254"
"513902633","5139","02","63","3","255"
"513902634","5139","02","63","4","256"
"513902641","5139","02","64","1","257"
"513902642","5139","02","64","2","258"
"513902643","5139","02","64","3","259"
"513902644","5139","02","64","4","260"
"513902651","5139","02","65","1","261"
"513902652","5139","02","65","2","262"
"513902653","5139","02","65","3","263"
"513902654","5139","02","65","4","264"
"513902661","5139","02","66","1","265"
"513902662","5139","02","66","2","266"
"513902663","5139","02","66","3","267"
"513902664","5139","02","66","4","268"
"513902671","5139","02","67","1","269"
"513902672","5139","02","67","2","270"
"513902673","5139","02","67","3","271"
"513902674","5139","02","67","4","272"
"513902681","5139","02","68","1","273"
"513902682","5139","02","68","2","274"
"513902683","5139","02","68","3","275"
"513902684","5139","02","68","4","276"
"513902691","5139","02","69","1","277"
"513902692","5139","02","69","2","278"
"513902693","5139","02","69","3","279"
"513902694","5139","02","69","4","280"
"513902701","5139","02","70","1","281"
"513902702","5139","02","70","2","282"
"513902703","5139","02","70","3","283"
"513902704","5139","02","70","4","284"
"513902711","5139","02","71","1","285"
