KEY_CODE,T000387001,T000387002,T000387003,T000387004
,êlå˚ëçêî,íj,èó,ê¢ë—ëçêî
404241752,10,6,4,5
404241754,4,3,1,3
404241763,68,35,33,48
404241764,2,2,0,2
404241854,30,15,15,16
404241962,9,5,4,6
404251053,27,27,0,7
404251062,4,1,3,2
404251151,200,103,97,137
404251152,68,29,39,39
404251153,31,19,12,22
404251154,606,328,278,279
404251161,1,1,0,1
404251163,321,191,130,177
404251164,15,8,7,9
404251252,322,179,143,154
404251261,180,90,90,105
