KEY_CODE,MESH1_ID,MESH2_ID,MESH3_ID,MESH4_ID,OBJ_ID
"523800001","5238","00","00","1","1"
"523800002","5238","00","00","2","2"
"523800003","5238","00","00","3","3"
"523800004","5238","00","00","4","4"
"523800011","5238","00","01","1","5"
"523800012","5238","00","01","2","6"
"523800013","5238","00","01","3","7"
"523800014","5238","00","01","4","8"
"523800021","5238","00","02","1","9"
"523800022","5238","00","02","2","10"
"523800023","5238","00","02","3","11"
"523800024","5238","00","02","4","12"
"523800031","5238","00","03","1","13"
"523800032","5238","00","03","2","14"
"523800033","5238","00","03","3","15"
"523800034","5238","00","03","4","16"
"523800041","5238","00","04","1","17"
"523800042","5238","00","04","2","18"
"523800043","5238","00","04","3","19"
"523800044","5238","00","04","4","20"
"523800051","5238","00","05","1","21"
"523800052","5238","00","05","2","22"
"523800053","5238","00","05","3","23"
"523800054","5238","00","05","4","24"
"523800061","5238","00","06","1","25"
"523800062","5238","00","06","2","26"
"523800063","5238","00","06","3","27"
"523800064","5238","00","06","4","28"
"523800071","5238","00","07","1","29"
"523800072","5238","00","07","2","30"
"523800073","5238","00","07","3","31"
"523800074","5238","00","07","4","32"
"523800081","5238","00","08","1","33"
"523800082","5238","00","08","2","34"
"523800083","5238","00","08","3","35"
"523800084","5238","00","08","4","36"
"523800091","5238","00","09","1","37"
"523800092","5238","00","09","2","38"
"523800093","5238","00","09","3","39"
"523800094","5238","00","09","4","40"
"523800101","5238","00","10","1","41"
"523800102","5238","00","10","2","42"
"523800103","5238","00","10","3","43"
"523800104","5238","00","10","4","44"
"523800111","5238","00","11","1","45"
"523800112","5238","00","11","2","46"
"523800113","5238","00","11","3","47"
"523800114","5238","00","11","4","48"
"523800121","5238","00","12","1","49"
"523800122","5238","00","12","2","50"
"523800123","5238","00","12","3","51"
"523800124","5238","00","12","4","52"
"523800131","5238","00","13","1","53"
"523800132","5238","00","13","2","54"
"523800133","5238","00","13","3","55"
"523800134","5238","00","13","4","56"
"523800141","5238","00","14","1","57"
"523800142","5238","00","14","2","58"
"523800143","5238","00","14","3","59"
"523800144","5238","00","14","4","60"
"523800151","5238","00","15","1","61"
"523800152","5238","00","15","2","62"
"523800153","5238","00","15","3","63"
"523800154","5238","00","15","4","64"
"523800161","5238","00","16","1","65"
"523800162","5238","00","16","2","66"
"523800163","5238","00","16","3","67"
"523800164","5238","00","16","4","68"
"523800171","5238","00","17","1","69"
"523800172","5238","00","17","2","70"
"523800173","5238","00","17","3","71"
"523800174","5238","00","17","4","72"
"523800181","5238","00","18","1","73"
"523800182","5238","00","18","2","74"
"523800183","5238","00","18","3","75"
"523800184","5238","00","18","4","76"
"523800191","5238","00","19","1","77"
"523800192","5238","00","19","2","78"
"523800193","5238","00","19","3","79"
"523800194","5238","00","19","4","80"
"523800201","5238","00","20","1","81"
"523800202","5238","00","20","2","82"
"523800203","5238","00","20","3","83"
"523800204","5238","00","20","4","84"
"523800211","5238","00","21","1","85"
"523800212","5238","00","21","2","86"
"523800213","5238","00","21","3","87"
"523800214","5238","00","21","4","88"
"523800221","5238","00","22","1","89"
"523800222","5238","00","22","2","90"
"523800223","5238","00","22","3","91"
"523800224","5238","00","22","4","92"
"523800231","5238","00","23","1","93"
"523800232","5238","00","23","2","94"
"523800233","5238","00","23","3","95"
"523800234","5238","00","23","4","96"
"523800241","5238","00","24","1","97"
"523800242","5238","00","24","2","98"
"523800243","5238","00","24","3","99"
"523800244","5238","00","24","4","100"
"523800251","5238","00","25","1","101"
"523800252","5238","00","25","2","102"
"523800253","5238","00","25","3","103"
"523800254","5238","00","25","4","104"
"523800261","5238","00","26","1","105"
"523800262","5238","00","26","2","106"
"523800263","5238","00","26","3","107"
"523800264","5238","00","26","4","108"
"523800271","5238","00","27","1","109"
"523800272","5238","00","27","2","110"
"523800273","5238","00","27","3","111"
"523800274","5238","00","27","4","112"
"523800281","5238","00","28","1","113"
"523800282","5238","00","28","2","114"
"523800283","5238","00","28","3","115"
"523800284","5238","00","28","4","116"
"523800291","5238","00","29","1","117"
"523800292","5238","00","29","2","118"
"523800293","5238","00","29","3","119"
"523800294","5238","00","29","4","120"
"523800301","5238","00","30","1","121"
"523800302","5238","00","30","2","122"
"523800303","5238","00","30","3","123"
"523800304","5238","00","30","4","124"
"523800311","5238","00","31","1","125"
"523800312","5238","00","31","2","126"
"523800313","5238","00","31","3","127"
"523800314","5238","00","31","4","128"
"523800321","5238","00","32","1","129"
"523800322","5238","00","32","2","130"
"523800323","5238","00","32","3","131"
"523800324","5238","00","32","4","132"
"523800331","5238","00","33","1","133"
"523800332","5238","00","33","2","134"
"523800333","5238","00","33","3","135"
"523800334","5238","00","33","4","136"
"523800341","5238","00","34","1","137"
"523800342","5238","00","34","2","138"
"523800343","5238","00","34","3","139"
"523800344","5238","00","34","4","140"
"523800351","5238","00","35","1","141"
"523800352","5238","00","35","2","142"
"523800353","5238","00","35","3","143"
"523800354","5238","00","35","4","144"
"523800361","5238","00","36","1","145"
"523800362","5238","00","36","2","146"
"523800363","5238","00","36","3","147"
"523800364","5238","00","36","4","148"
"523800371","5238","00","37","1","149"
"523800372","5238","00","37","2","150"
"523800373","5238","00","37","3","151"
"523800374","5238","00","37","4","152"
"523800381","5238","00","38","1","153"
"523800382","5238","00","38","2","154"
"523800383","5238","00","38","3","155"
"523800384","5238","00","38","4","156"
"523800391","5238","00","39","1","157"
"523800392","5238","00","39","2","158"
"523800393","5238","00","39","3","159"
"523800394","5238","00","39","4","160"
"523800401","5238","00","40","1","161"
"523800402","5238","00","40","2","162"
"523800403","5238","00","40","3","163"
"523800404","5238","00","40","4","164"
"523800411","5238","00","41","1","165"
"523800412","5238","00","41","2","166"
"523800413","5238","00","41","3","167"
"523800414","5238","00","41","4","168"
"523800421","5238","00","42","1","169"
"523800422","5238","00","42","2","170"
"523800423","5238","00","42","3","171"
"523800424","5238","00","42","4","172"
"523800431","5238","00","43","1","173"
"523800432","5238","00","43","2","174"
"523800433","5238","00","43","3","175"
"523800434","5238","00","43","4","176"
"523800441","5238","00","44","1","177"
"523800442","5238","00","44","2","178"
"523800443","5238","00","44","3","179"
"523800444","5238","00","44","4","180"
"523800451","5238","00","45","1","181"
"523800452","5238","00","45","2","182"
"523800453","5238","00","45","3","183"
"523800454","5238","00","45","4","184"
"523800461","5238","00","46","1","185"
"523800462","5238","00","46","2","186"
"523800463","5238","00","46","3","187"
"523800464","5238","00","46","4","188"
"523800471","5238","00","47","1","189"
"523800472","5238","00","47","2","190"
"523800473","5238","00","47","3","191"
"523800474","5238","00","47","4","192"
"523800481","5238","00","48","1","193"
"523800482","5238","00","48","2","194"
"523800483","5238","00","48","3","195"
"523800484","5238","00","48","4","196"
"523800491","5238","00","49","1","197"
"523800492","5238","00","49","2","198"
"523800493","5238","00","49","3","199"
"523800494","5238","00","49","4","200"
"523800501","5238","00","50","1","201"
"523800502","5238","00","50","2","202"
"523800503","5238","00","50","3","203"
"523800504","5238","00","50","4","204"
"523800511","5238","00","51","1","205"
"523800512","5238","00","51","2","206"
"523800513","5238","00","51","3","207"
"523800514","5238","00","51","4","208"
"523800521","5238","00","52","1","209"
"523800522","5238","00","52","2","210"
"523800523","5238","00","52","3","211"
"523800524","5238","00","52","4","212"
"523800531","5238","00","53","1","213"
"523800532","5238","00","53","2","214"
"523800533","5238","00","53","3","215"
"523800534","5238","00","53","4","216"
"523800541","5238","00","54","1","217"
"523800542","5238","00","54","2","218"
"523800543","5238","00","54","3","219"
"523800544","5238","00","54","4","220"
"523800551","5238","00","55","1","221"
"523800552","5238","00","55","2","222"
"523800553","5238","00","55","3","223"
"523800554","5238","00","55","4","224"
"523800561","5238","00","56","1","225"
"523800562","5238","00","56","2","226"
"523800563","5238","00","56","3","227"
"523800564","5238","00","56","4","228"
"523800571","5238","00","57","1","229"
"523800572","5238","00","57","2","230"
