KEY_CODE,T000387001,T000387002,T000387003,T000387004
,êlå˚ëçêî,íj,èó,ê¢ë—ëçêî
513903691,2,1,1,1
513903693,2,0,2,1
513903782,44,27,17,27
513903784,237,126,111,125
513903882,169,99,70,96
513903883,122,62,60,61
513903894,30,13,17,18
513903981,22,11,11,15
513903982,148,82,66,73
513903983,82,42,40,42
513903984,18,9,9,9
513904504,1,1,0,1
513904633,99,57,42,54
513904731,103,56,47,63
513904732,320,172,148,187
513904743,6,4,2,4
513904842,4,2,2,3
513904944,10,6,4,6
513913193,73,38,35,44
513913291,81,49,32,42
513913394,50,22,28,26
513914303,131,75,56,81
513914342,29,15,14,18
513914343,37,22,15,18
513914402,190,103,87,119
513914411,77,56,21,65
513914412,61,27,34,36
513914414,57,34,23,40
513914421,90,46,44,51
513914423,114,59,55,60
513914432,30,15,15,18
513921304,5,3,2,2
513921311,5,3,2,1
513921312,1,0,1,1
513921402,678,343,335,271
513921404,792,406,386,295
513921411,4,3,1,1
513921412,9,4,5,3
513921413,49,28,21,21
513921502,67,39,28,28
513921504,1,1,0,1
513921511,384,203,181,163
513921512,6,1,5,2
513921513,8,4,4,3
513921602,54,13,41,8
513921603,5,2,3,2
513931873,140,67,73,68
513931874,109,48,61,61
513931971,209,99,110,85
513931972,138,64,74,68
513941392,30,6,24,1
513942302,52,29,23,25
513942401,72,39,33,37
513942402,133,73,60,66
513942403,600,296,304,237
513942404,424,206,218,176
513942411,8,4,4,4
513942501,435,214,221,169
513942502,255,116,139,97
513942503,125,55,70,51
513942504,8,3,5,5
513942611,39,24,15,15
513942914,14,10,4,5
513942923,80,57,23,50
513952021,42,19,23,13
513952022,87,36,51,30
513952024,161,76,85,66
513962321,169,89,80,89
513962323,139,81,58,90
