KEY_CODE,OBJ_ID,River,WaterDepth,1995,2000,2005,2010,2015,Area,Menseki,Anbun,1995_A,2000_A,2005_A,2010_A,2015_A,Up_95-15,Cat_1
"533915943","5579",多摩川,"12","3070","3331","3551","3176","3430",262152.610,16064.497,0.061,187.270,203.191,216.611,193.736,209.230,11.726,"1"
"533915944","5580",多摩川,"12","4535","4486","4651","4465","4267",262152.610,139647.596,0.533,2417.155,2391.038,2478.983,2379.845,2274.311,-5.910,"0"
"533925041","8417",多摩川,"12","4378","4737","4815","4962","4850",262139.254,54755.006,0.209,915.002,990.033,1006.335,1037.058,1013.650,10.781,"1"
"533925042","8418",多摩川,"12","6133","5948","5839","5645","5661",262139.254,30449.974,0.116,711.428,689.968,677.324,654.820,656.676,-7.696,"0"
"533925042","8418",多摩川,"12","6133","5948","5839","5645","5661",262139.254,131477.023,0.502,3078.766,2985.896,2931.178,2833.790,2841.822,-7.696,"0"
"533925043","8419",多摩川,"12","2501","2442","3285","3823","4805",262125.896,1013.133,0.004,10.004,9.768,13.140,15.292,19.220,92.123,"1"
"533925044","8420",多摩川,"12","3715","3613","3797","3754","3907",262125.896,24051.040,0.092,341.780,332.396,349.324,345.368,359.444,5.168,"1"
"533925044","8420",多摩川,"12","3715","3613","3797","3754","3907",262125.896,17393.987,0.066,245.190,238.458,250.602,247.764,257.862,5.168,"1"
"533925051","8421",多摩川,"12","6547","6313","6112","5703","5597",262139.254,16078.695,0.061,399.367,385.093,372.832,347.883,341.417,-14.510,"0"
"533925051","8421",多摩川,"12","6547","6313","6112","5703","5597",262139.254,59806.167,0.228,1492.716,1439.364,1393.536,1300.284,1276.116,-14.510,"0"
"533925052","8422",多摩川,"12","3019","3034","3101","2938","2689",262139.254,16349.722,0.062,187.178,188.108,192.262,182.156,166.718,-10.931,"0"
"533925052","8422",多摩川,"12","3019","3034","3101","2938","2689",262139.254,14375.482,0.055,166.045,166.870,170.555,161.590,147.895,-10.931,"0"
"533925052","8422",多摩川,"12","3019","3034","3101","2938","2689",262139.254,29052.443,0.111,335.109,336.774,344.211,326.118,298.479,-10.931,"0"
"533925053","8423",多摩川,"12","3718","3864","4717","4921","3866",262125.896,20321.371,0.078,290.004,301.392,367.926,383.838,301.548,3.981,"1"
"533925053","8423",多摩川,"12","3718","3864","4717","4921","3866",262125.896,156132.999,0.596,2215.928,2302.944,2811.332,2932.916,2304.136,3.981,"1"
"533925054","8424",多摩川,"12","4673","5110","6505","6461","8168",262125.896,2018.370,0.008,37.384,40.880,52.040,51.688,65.344,74.791,"1"
"533925054","8424",多摩川,"12","4673","5110","6505","6461","8168",262125.896,32831.334,0.125,584.125,638.750,813.125,807.625,1021.000,74.791,"1"
"533925054","8424",多摩川,"12","4673","5110","6505","6461","8168",262125.896,809.021,0.003,14.019,15.330,19.515,19.383,24.504,74.791,"1"
"533925063","8427",多摩川,"12","4496","4238","4515","4438","4416",262125.896,107833.804,0.411,1847.856,1741.818,1855.665,1824.018,1814.976,-1.779,"0"
"533925073","8431",多摩川,"12","0","0","0","0","0",262125.896,28720.163,0.110,0.000,0.000,0.000,0.000,0.000,,"3"
"533925142","8458",多摩川,"12","2557","2662","3291","3604","4090",262112.537,801.248,0.003,7.671,7.986,9.873,10.812,12.270,59.953,"1"
"533925142","8458",多摩川,"12","2557","2662","3291","3604","4090",262112.537,111.767,0.000,0.000,0.000,0.000,0.000,0.000,,"3"
"533925144","8460",多摩川,"12","2892","2970","3081","3102","3137",262099.177,111.202,0.000,0.000,0.000,0.000,0.000,0.000,,"3"
"533925144","8460",多摩川,"12","2892","2970","3081","3102","3137",262099.177,49107.143,0.187,540.804,555.390,576.147,580.074,586.619,8.472,"1"
"533925151","8461",多摩川,"12","3425","3371","3368","3434","3293",262112.537,27979.006,0.107,366.475,360.697,360.376,367.438,352.351,-3.854,"0"
"533925151","8461",多摩川,"12","3425","3371","3368","3434","3293",262112.537,14382.785,0.055,188.375,185.405,185.240,188.870,181.115,-3.854,"0"
"533925151","8461",多摩川,"12","3425","3371","3368","3434","3293",262112.537,90688.504,0.346,1185.050,1166.366,1165.328,1188.164,1139.378,-3.854,"0"
"533925152","8462",多摩川,"12","5548","5657","5529","5165","5037",262112.537,16374.250,0.062,343.976,350.734,342.798,320.230,312.294,-9.211,"0"
"533925152","8462",多摩川,"12","5548","5657","5529","5165","5037",262112.537,30771.649,0.117,649.116,661.869,646.893,604.305,589.329,-9.211,"0"
"533925152","8462",多摩川,"12","5548","5657","5529","5165","5037",262112.537,1036.047,0.004,22.192,22.628,22.116,20.660,20.148,-9.211,"0"
"533925152","8462",多摩川,"12","5548","5657","5529","5165","5037",262112.537,15461.797,0.059,327.332,333.763,326.211,304.735,297.183,-9.211,"0"
"533925153","8463",多摩川,"12","4706","5120","5566","5360","5331",262099.177,20263.904,0.077,362.362,394.240,428.582,412.720,410.487,13.281,"1"
"533925153","8463",多摩川,"12","4706","5120","5566","5360","5331",262099.177,14389.012,0.055,258.830,281.600,306.130,294.800,293.205,13.281,"1"
"533925153","8463",多摩川,"12","4706","5120","5566","5360","5331",262099.177,36588.285,0.140,658.840,716.800,779.240,750.400,746.340,13.281,"1"
"533925154","8464",多摩川,"12","5906","5321","5546","5274","5103",262099.177,112814.660,0.430,2539.580,2288.030,2384.780,2267.820,2194.290,-13.596,"0"
"533925161","8465",多摩川,"12","7079","6558","6251","6134","6145",262112.537,88774.845,0.339,2399.781,2223.162,2119.089,2079.426,2083.155,-13.194,"0"
"533925162","8466",多摩川,"12","2102","1770","2767","4464","4567",262112.537,933.457,0.004,8.408,7.080,11.068,17.856,18.268,117.269,"2"
"533925162","8466",多摩川,"12","2102","1770","2767","4464","4567",262112.537,32748.292,0.125,262.750,221.250,345.875,558.000,570.875,117.269,"2"
"533925162","8466",多摩川,"12","2102","1770","2767","4464","4567",262112.537,76018.594,0.290,609.580,513.300,802.430,1294.560,1324.430,117.269,"2"
"533925163","8467",多摩川,"12","5700","5491","5300","5105","5037",262099.177,932.503,0.004,22.800,21.964,21.200,20.420,20.148,-11.632,"0"
"533925164","8468",多摩川,"12","1613","1257","1377","3113","4648",262099.177,84951.857,0.324,522.612,407.268,446.148,1008.612,1505.952,188.159,"2"
"533925171","8469",多摩川,"12","372","267","346","311","299",262112.537,20395.770,0.078,29.016,20.826,26.988,24.258,23.322,-19.624,"0"
"533925171","8469",多摩川,"12","372","267","346","311","299",262112.537,15459.351,0.059,21.948,15.753,20.414,18.349,17.641,-19.624,"0"
"533925171","8469",多摩川,"12","372","267","346","311","299",262112.537,1887.876,0.007,2.604,1.869,2.422,2.177,2.093,-19.624,"0"
"533925172","8470",多摩川,"12","0","0","0","5","0",262112.537,47284.886,0.180,0.000,0.000,0.000,0.900,0.000,,"3"
"533925174","8472",多摩川,"12","1944","1547","1656","1707","1779",262099.177,14364.918,0.055,106.920,85.085,91.080,93.885,97.845,-8.488,"0"
"533925241","8497",多摩川,"12","659","977","959","759","1354",262085.815,14389.251,0.055,36.245,53.735,52.745,41.745,74.470,105.463,"2"
"533925242","8498",多摩川,"12","5044","4971","4701","4960","6325",262085.815,16380.233,0.062,312.728,308.202,291.462,307.520,392.150,25.397,"1"
"533925242","8498",多摩川,"12","5044","4971","4701","4960","6325",262085.815,46881.897,0.179,902.876,889.809,841.479,887.840,1132.175,25.397,"1"
"533925243","8499",多摩川,"12","1090","1135","1316","1302","1469",262072.452,802.002,0.003,3.270,3.405,3.948,3.906,4.407,34.771,"1"
"533925243","8499",多摩川,"12","1090","1135","1316","1302","1469",262072.452,1975.053,0.008,8.720,9.080,10.528,10.416,11.752,34.771,"1"
"533925243","8499",多摩川,"12","1090","1135","1316","1302","1469",262072.452,81903.494,0.313,341.170,355.255,411.908,407.526,459.797,34.771,"1"
"533925244","8500",多摩川,"12","3679","3949","3908","4630","8398",262072.452,28005.293,0.107,393.653,422.543,418.156,495.410,898.586,128.269,"2"
"533925244","8500",多摩川,"12","3679","3949","3908","4630","8398",262072.452,103916.338,0.397,1460.563,1567.753,1551.476,1838.110,3334.006,128.269,"2"
"533925251","8501",多摩川,"12","5013","5569","5888","6628","6440",262085.815,2002.334,0.008,40.104,44.552,47.104,53.024,51.520,28.466,"1"
"533925251","8501",多摩川,"12","5013","5569","5888","6628","6440",262085.815,59825.225,0.228,1142.964,1269.732,1342.464,1511.184,1468.320,28.466,"1"
"533925252","8502",多摩川,"12","4661","4497","4583","4648","4432",262085.815,16390.928,0.063,293.643,283.311,288.729,292.824,279.216,-4.913,"0"
"533925252","8502",多摩川,"12","4661","4497","4583","4648","4432",262085.815,18366.001,0.070,326.270,314.790,320.810,325.360,310.240,-4.913,"0"
"533925252","8502",多摩川,"12","4661","4497","4583","4648","4432",262085.815,45160.511,0.172,801.692,773.484,788.276,799.456,762.304,-4.913,"0"
"533925253","8503",多摩川,"12","4105","4446","5125","6529","6540",262072.452,239783.181,0.915,3756.075,4068.090,4689.375,5974.035,5984.100,59.318,"1"
"533925254","8504",多摩川,"12","4774","4759","5079","5146","5085",262072.452,1752.833,0.007,33.418,33.313,35.553,36.022,35.595,6.514,"1"
"533925254","8504",多摩川,"12","4774","4759","5079","5146","5085",262072.452,164005.743,0.626,2988.524,2979.134,3179.454,3221.396,3183.210,6.514,"1"
"533925263","8507",多摩川,"12","5863","5610","5498","5560","5653",262072.452,43428.616,0.166,973.258,931.260,912.668,922.960,938.398,-3.582,"0"
"533925272","8510",多摩川,"12","4616","4226","4079","4108","4003",262085.815,2008.086,0.008,36.928,33.808,32.632,32.864,32.024,-13.280,"0"
"533925272","8510",多摩川,"12","4616","4226","4079","4108","4003",262085.815,952.502,0.004,18.464,16.904,16.316,16.432,16.012,-13.280,"0"
"533925281","8513",多摩川,"12","1014","972","1025","1145","1106",262085.815,16390.928,0.063,63.882,61.236,64.575,72.135,69.678,9.073,"1"
"533925281","8513",多摩川,"12","1014","972","1025","1145","1106",262085.815,14383.034,0.055,55.770,53.460,56.375,62.975,60.830,9.073,"1"
"533925281","8513",多摩川,"12","1014","972","1025","1145","1106",262085.815,15407.174,0.059,59.826,57.348,60.475,67.555,65.254,9.073,"1"
"533925282","8514",多摩川,"12","130","98","156","149","151",262085.815,963.895,0.004,0.520,0.392,0.624,0.596,0.604,16.154,"1"
"533925283","8515",多摩川,"12","4712","4526","4922","4783","4748",262072.452,1991.746,0.008,37.696,36.208,39.376,38.264,37.984,0.764,"1"
"533925283","8515",多摩川,"12","4712","4526","4922","4783","4748",262072.452,17334.099,0.066,310.992,298.716,324.852,315.678,313.368,0.764,"1"
"533925284","8516",多摩川,"12","901","1492","1487","1519","1439",262072.452,79911.210,0.305,274.805,455.060,453.535,463.295,438.895,59.711,"1"
"533925284","8516",多摩川,"12","901","1492","1487","1519","1439",262072.452,15436.018,0.059,53.159,88.028,87.733,89.621,84.901,59.711,"1"
"533925291","8517",多摩川,"12","183","107","171","161","100",262085.815,15418.959,0.059,10.797,6.313,10.089,9.499,5.900,-45.355,"0"
"533925291","8517",多摩川,"12","183","107","171","161","100",262085.815,14358.093,0.055,10.065,5.885,9.405,8.855,5.500,-45.355,"0"
"533925293","8519",多摩川,"12","709","607","710","816","964",262072.452,34690.854,0.132,93.588,80.124,93.720,107.712,127.248,35.966,"1"
"533925293","8519",多摩川,"12","709","607","710","816","964",262072.452,1990.491,0.008,5.672,4.856,5.680,6.528,7.712,35.966,"1"
"533925294","8520",多摩川,"12","39","30","2","2","5",262072.452,30830.823,0.118,4.602,3.540,0.236,0.236,0.590,-87.179,"0"
"533925332","8534",多摩川,"12","3214","2881","3612","3733","3685",262059.087,17034.972,0.065,208.910,187.265,234.780,242.645,239.525,14.655,"1"
"533925334","8536",多摩川,"12","2011","2101","2501","3954","4257",262045.721,16372.485,0.062,124.682,130.262,155.062,245.148,263.934,111.686,"2"
"533925334","8536",多摩川,"12","2011","2101","2501","3954","4257",262045.721,84708.074,0.323,649.553,678.623,807.823,1277.142,1375.011,111.686,"2"
"533925341","8537",多摩川,"12","1349","1154","2004","2114","2231",262059.087,109.434,0.000,0.000,0.000,0.000,0.000,0.000,,"3"
"533925341","8537",多摩川,"12","1349","1154","2004","2114","2231",262059.087,32741.615,0.125,168.625,144.250,250.500,264.250,278.875,65.382,"1"
"533925341","8537",多摩川,"12","1349","1154","2004","2114","2231",262059.087,58967.184,0.225,303.525,259.650,450.900,475.650,501.975,65.382,"1"
"533925342","8538",多摩川,"12","2320","3102","4438","4549","4696",262059.087,20199.666,0.077,178.640,238.854,341.726,350.273,361.592,102.414,"2"
"533925342","8538",多摩川,"12","2320","3102","4438","4549","4696",262059.087,14404.964,0.055,127.600,170.610,244.090,250.195,258.280,102.414,"2"
"533925342","8538",多摩川,"12","2320","3102","4438","4549","4696",262059.087,52008.678,0.198,459.360,614.196,878.724,900.702,929.808,102.414,"2"
"533925343","8539",多摩川,"12","2977","3100","3425","3851","4884",262045.721,17289.958,0.066,196.482,204.600,226.050,254.166,322.344,64.058,"1"
"533925343","8539",多摩川,"12","2977","3100","3425","3851","4884",262045.721,66592.707,0.254,756.158,787.400,869.950,978.154,1240.536,64.058,"1"
"533925344","8540",多摩川,"12","4318","4612","4417","4471","4910",262045.721,66546.495,0.254,1096.772,1171.448,1121.918,1135.634,1247.140,13.710,"1"
"533925344","8540",多摩川,"12","4318","4612","4417","4471","4910",262045.721,1969.614,0.008,34.544,36.896,35.336,35.768,39.280,13.710,"1"
"533925351","8541",多摩川,"12","1938","2126","2360","2641","2910",262059.087,811.767,0.003,5.814,6.378,7.080,7.923,8.730,50.155,"1"
"533925351","8541",多摩川,"12","1938","2126","2360","2641","2910",262059.087,165890.945,0.633,1226.754,1345.758,1493.880,1671.753,1842.030,50.155,"1"
"533925352","8542",多摩川,"12","4394","4876","5063","6181","6606",262059.087,112.845,0.000,0.000,0.000,0.000,0.000,0.000,,"3"
"533925352","8542",多摩川,"12","4394","4876","5063","6181","6606",262059.087,44358.164,0.169,742.586,824.044,855.647,1044.589,1116.414,50.341,"1"
