KEY_CODE,OBJ_ID,River,WaterDepth,1995,2000,2005,2010,2015,Area,Menseki,Anbun,1995_A,2000_A,2005_A,2010_A,2015_A,Up_95-15,Cat_1
"533925143","8459",多摩川,"13","3065","2739","2739","2746","2554",262099.177,18078.680,0.069,211.485,188.991,188.991,189.474,176.226,-16.672,"0"
"533925144","8460",多摩川,"13","2892","2970","3081","3102","3137",262099.177,141286.086,0.539,1558.788,1600.830,1660.659,1671.978,1690.843,8.472,"1"
"533925151","8461",多摩川,"13","3425","3371","3368","3434","3293",262112.537,16379.281,0.062,212.350,209.002,208.816,212.908,204.166,-3.854,"0"
"533925151","8461",多摩川,"13","3425","3371","3368","3434","3293",262112.537,14385.780,0.055,188.375,185.405,185.240,188.870,181.115,-3.854,"0"
"533925152","8462",多摩川,"13","5548","5657","5529","5165","5037",262112.537,33398.387,0.127,704.596,718.439,702.183,655.955,639.699,-9.211,"0"
"533925153","8463",多摩川,"13","4706","5120","5566","5360","5331",262099.177,190745.571,0.728,3425.968,3727.360,4052.048,3902.080,3880.968,13.281,"1"
"533925154","8464",多摩川,"13","5906","5321","5546","5274","5103",262099.177,29047.192,0.111,655.566,590.631,615.606,585.414,566.433,-13.596,"0"
"533925154","8464",多摩川,"13","5906","5321","5546","5274","5103",262099.177,99974.670,0.381,2250.186,2027.301,2113.026,2009.394,1944.243,-13.596,"0"
"533925161","8465",多摩川,"13","7079","6558","6251","6134","6145",262112.537,170283.369,0.650,4601.350,4262.700,4063.150,3987.100,3994.250,-13.194,"0"
"533925162","8466",多摩川,"13","2102","1770","2767","4464","4567",262112.537,30614.642,0.117,245.934,207.090,323.739,522.288,534.339,117.269,"2"
"533925163","8467",多摩川,"13","5700","5491","5300","5105","5037",262099.177,261166.676,0.996,5677.200,5469.036,5278.800,5084.580,5016.852,-11.632,"0"
"533925164","8468",多摩川,"13","1613","1257","1377","3113","4648",262099.177,176326.636,0.673,1085.549,845.961,926.721,2095.049,3128.104,188.159,"2"
"533925171","8469",多摩川,"13","372","267","346","311","299",262112.537,16382.320,0.063,23.436,16.821,21.798,19.593,18.837,-19.624,"0"
"533925171","8469",多摩川,"13","372","267","346","311","299",262112.537,187587.742,0.716,266.352,191.172,247.736,222.676,214.084,-19.624,"0"
"533925172","8470",多摩川,"13","0","0","0","5","0",262112.537,59720.660,0.228,0.000,0.000,0.000,1.140,0.000,,"3"
