KEY_CODE,T000387001,T000387002,T000387003,T000387004
,êlå˚ëçêî,íj,èó,ê¢ë—ëçêî
493946734,48,23,25,20
493946742,41,18,23,19
493946743,14,8,6,8
493946744,252,124,128,109
493946751,49,20,29,25
493946753,172,82,90,85
493946824,2,2,0,2
493946831,13,7,6,5
493946832,232,113,119,122
493946833,106,52,54,46
493946834,142,67,75,73
493946841,57,26,31,29
493946842,190,95,95,84
493946844,2,2,0,2
493946851,112,61,51,65
493946852,6,4,2,5
493946853,3,1,2,3
493946971,53,24,29,28
493946972,16,8,8,8
493946973,3,2,1,1
493946974,60,30,30,27
493946983,90,44,46,44
493955494,5,3,2,2
493955592,4,2,2,2
493955593,2,1,1,1
493955691,5,2,3,2
493955693,7,4,3,4
493955791,6,1,5,4
493955792,3,2,1,1
493955794,3,1,2,2
493955892,3,2,1,2
493955894,7,2,5,4
493956022,9,6,3,3
493956031,6,3,3,3
493956072,62,25,37,24
493956081,189,90,99,89
493956114,60,32,28,32
493956122,3,2,1,1
493956123,61,36,25,29
493956124,101,49,52,54
493956203,2,1,1,1
493956204,4,2,2,1
493956212,146,70,76,75
493956213,41,22,19,18
493956214,188,96,92,84
493956221,185,102,83,96
493956222,156,88,68,70
493956223,130,64,66,55
493956224,445,216,229,196
493956231,95,45,50,44
493956233,382,194,188,194
493956301,8,5,3,3
493956302,3,2,1,2
493956303,16,8,8,8
493956304,40,20,20,20
493956311,61,28,33,24
493956312,191,63,128,24
493956313,72,37,35,35
493956314,36,21,15,21
493956321,91,48,43,44
493956322,6,2,4,2
493956323,6,3,3,4
493956331,131,69,62,66
493956332,177,88,89,86
493956333,205,101,104,102
493956334,311,146,165,153
493956341,33,15,18,16
493956343,210,113,97,105
493956401,42,26,16,25
493956402,30,17,13,14
493956403,3,2,1,3
493956411,28,14,14,13
493956412,8,6,2,3
493956422,32,23,9,20
493956431,113,57,56,60
493956432,235,118,117,133
493956433,235,116,119,106
493956434,453,230,223,214
493956441,578,291,287,308
493956442,127,62,65,74
493956443,448,224,224,241
493956444,283,126,157,132
493956453,54,30,24,31
493956531,7,2,5,6
493956532,14,8,6,8
493956534,4,2,2,3
493956541,273,131,142,122
493956542,227,122,105,127
493956543,25,16,9,15
493956544,12,6,6,8
493956551,1,1,0,1
493956633,6,5,1,6
493956731,2,2,0,2
493956803,3,2,1,2
493956804,22,13,9,13
493956813,1,0,1,1
493956814,1,0,1,1
