KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000847001,T000847002,T000847003,T000847004,T000847005,T000847006,T000847007,T000847008,T000847009,T000847010,T000847011,T000847012,T000847013,T000847014,T000847015,T000847016,T000847017,T000847018,T000847019,T000847020,T000847021,T000847022,T000847023,T000847024,T000847025,T000847026,T000847027,T000847028,T000847029,T000847030,T000847031,T000847032,T000847033,T000847034,T000847035,T000847036,T000847037,T000847038,T000847039,T000847040,T000847041
,,,,Å@êlå˚ëçêî,Å@êlå˚ëçêîÅ@íj,Å@êlå˚ëçêîÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇQêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇRêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇSêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇTêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇUêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—ÇÃàÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃàÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@çÇóÓíPêgÇÃàÍî ê¢ë—êî,Å@çÇóÓïvïwÇÃÇ›ÇÃàÍî ê¢ë—êî
523847282,0,,,44,20,24,1,0,1,43,20,23,23,12,11,42,20,22,20,8,12,11,4,7,0,0,0,16,16,3,6,1,4,2,0,0,13,7,6,0,14,0,3,3
523847283,2,523847284,,6,2,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
523847284,1,,523847283,10,6,4,2,1,1,14,7,7,6,4,2,14,7,7,8,3,5,4,2,2,0,0,0,5,5,3,3,1,1,0,0,0,5,5,0,0,5,0,2,2
523847291,0,,,9,5,4,0,0,0,9,5,4,5,3,2,9,5,4,4,2,2,0,0,0,0,0,0,4,4,1,1,2,0,0,0,0,3,3,0,0,2,0,0,0
523847294,0,,,16,7,9,0,0,0,15,6,9,6,2,4,14,6,8,9,4,5,6,2,4,0,0,0,9,9,4,4,0,1,0,0,0,5,5,0,0,7,0,2,2
523847311,0,,,45,21,24,4,0,4,41,21,20,25,14,11,38,20,18,16,7,9,8,4,4,0,0,0,15,15,2,4,4,3,1,1,0,13,8,5,1,9,0,0,2
523847312,0,,,285,144,141,23,9,14,262,135,127,159,91,68,248,125,123,103,44,59,50,21,29,0,0,0,103,103,22,34,23,7,8,6,3,81,56,25,7,68,4,9,18
523847313,0,,,64,39,25,8,5,3,56,34,22,40,26,14,53,31,22,16,8,8,5,2,3,1,0,1,24,24,7,7,4,3,0,2,1,17,12,5,2,14,1,3,2
523847314,0,,,116,53,63,14,7,7,102,46,56,58,27,31,98,44,54,44,19,25,25,8,17,3,1,2,49,49,17,15,5,8,3,0,1,32,24,8,3,30,2,6,10
523847321,0,,,35,16,19,3,0,3,32,16,16,17,9,8,29,15,14,15,7,8,10,3,7,0,0,0,12,12,2,3,5,0,1,0,1,10,7,3,0,10,0,2,2
523847331,0,,,115,55,60,10,9,1,105,46,59,63,27,36,104,45,59,42,19,23,19,6,13,0,0,0,38,38,3,8,16,8,2,1,0,35,22,13,0,28,0,2,5
523847332,0,,,153,72,81,19,9,10,134,63,71,87,41,46,125,62,63,47,22,25,17,7,10,1,1,0,54,54,12,17,9,7,5,2,2,40,25,15,5,34,0,7,7
523847333,0,,,15,8,7,0,0,0,15,8,7,4,3,1,15,8,7,11,5,6,5,3,2,0,0,0,7,7,2,3,1,1,0,0,0,5,4,1,0,5,0,0,3
523847334,0,,,39,22,17,25,15,10,14,7,7,13,7,6,6,2,4,1,0,1,1,0,1,0,0,0,5,4,3,0,1,0,0,0,0,1,0,1,0,1,3,0,0
523847341,0,,,432,205,227,43,27,16,389,178,211,257,125,132,364,165,199,132,53,79,61,21,40,7,1,6,177,177,55,52,33,24,6,3,4,118,85,33,10,101,2,33,20
523847342,0,,,275,117,158,15,6,9,257,109,148,148,68,80,244,105,139,109,41,68,66,23,43,2,0,2,116,116,37,37,21,11,6,3,1,79,56,23,4,77,3,19,14
